t,2024_EU27.Elec,2025_EU27.Elec,2026_EU27.Elec,2027_EU27.Elec,2028_EU27.Elec,2029_EU27.Elec,2030_EU27.Elec,2031_EU27.Elec,2032_EU27.Elec,2033_EU27.Elec,2034_EU27.Elec,2035_EU27.Elec,2036_EU27.Elec,2037_EU27.Elec,2038_EU27.Elec,2039_EU27.Elec,2040_EU27.Elec,2041_EU27.Elec,2042_EU27.Elec,2043_EU27.Elec,2044_EU27.Elec,2045_EU27.Elec,2046_EU27.Elec,2047_EU27.Elec,2048_EU27.Elec,2049_EU27.Elec,2050_EU27.Elec
37,340620.3230569176,358841.234435178,377062.1458134384,395283.0571916988,413503.9685699592,431738.54904902854,418662.32512075675,429770.19853254734,440883.177490181,451996.15644781466,463109.1354054484,474222.1143630821,485348.7624215247,496461.7413791584,507574.720336792,518687.6992944257,483121.86687764747,499031.5323312311,514942.3656727878,530853.1990143445,546764.0323559013,562674.865697458,578585.6990390148,594496.5323805715,610407.3657221282,626359.2063661116,555371.3985667431
38,336782.35929445544,354797.96525534906,372813.57121624274,390829.1771771364,408844.78313803003,426873.90418216516,413945.01753880974,424927.732195392,435915.49487071566,446903.2575460394,457891.0202213632,468878.7828966869,479880.0606552522,490867.82333057595,501855.5860058996,512843.34868122335,477678.25681560294,493408.6589799743,509140.2158730577,524871.7727661411,540603.3296592245,556334.886552308,572066.4434453915,587798.0003384749,603529.5572315583,619301.6593743662,549113.7117579295
39,335947.03469241346,353917.95636844327,371888.8780444731,389859.7997205029,407830.7213965327,425815.12463421,412918.3056357064,423873.7797569795,434834.2893763435,445794.79899570753,456755.3086150715,467715.8182344356,478689.80941544706,489650.3190348111,500610.82865417504,511571.3382735391,476493.4667315424,492184.8526245287,507877.39038214216,523569.92813975556,539262.465897369,554955.0036549824,570647.5414125959,586340.0791702092,602032.6169278227,617765.5993703785,547751.7396115531
40,341162.27296895726,359412.17504639295,377662.07712382864,395911.97920126433,414161.8812787,432425.4742054061,419328.44512274966,430453.99191046937,441584.6523672999,452715.3128241305,463845.97328096116,474976.6337377918,486120.9850438928,497251.64550072345,508382.305957554,519512.96641438466,483890.5463589802,499825.52516355756,515761.67371429666,531697.8222650356,547633.9708157746,563570.1193665138,579506.2679172528,595442.4164679918,611378.5650187308,627355.7861172811,556255.0319269061
41,354317.2039606878,373270.8069495556,392224.40993842337,411178.01292729116,430131.615916159,449099.43766195764,435497.39812700334,447051.93666391046,458611.7860487187,470171.6354335271,481731.48481833545,493291.33420314384,504865.40234488307,516425.2517296914,527985.1011144997,539544.9504993081,502548.95981574117,519098.3780326975,535649.011100246,552199.6441677944,568750.2772353429,585300.9103028914,601851.5433704399,618402.1764379883,634952.8095055368,651546.098843878,577703.759229374
42,358652.61302571866,377838.13143188594,397023.6498380533,416209.16824422055,435394.6866503879,454594.597793544,440826.12432638556,452522.0436671464,464223.3388390998,475924.63401105336,487625.92918300687,499327.2243549604,511042.9122639028,522744.2074358563,534445.5026078097,546146.7977797632,508698.1258501648,525450.0419897643,542203.1878448122,558956.3336998599,575709.4795549078,592462.6254099556,609215.7712650034,625968.9171200511,642722.062975099,659518.3870411135,584772.5159441717
43,354418.7874676656,373377.8244954114,392336.8615231573,411295.8985509031,430254.93557864893,449228.1954398739,435622.25617083226,447180.1074188721,458743.27103744476,470306.4346560174,481869.5982745901,493432.7618931628,505010.1483452146,516573.3119637873,528136.4755823599,539699.6392009326,502693.04168700083,519247.20465787296,535802.5828276376,552357.960997402,568913.3391671666,585468.7173369311,602024.0955066957,618579.4736764602,635134.8518462247,651732.8985164268,577869.3881438066
44,341007.8336990322,359249.47430743586,377491.11491583945,395732.7555242431,413974.3961326467,432229.72139266954,419138.62114731426,430259.13155950373,441384.7533259194,452510.3750923351,463635.9968587508,474761.61862516653,485900.9250432015,497026.5468096172,508152.16857603285,519277.79034244857,483671.496045905,499599.2613140282,515528.1957987858,531457.1302835433,547386.0647683009,563314.9992530585,579243.9337378159,595172.8682225735,611101.802707331,627071.7911469463,556003.2232486624
45,326149.8666266953,343596.70527244295,361043.5439181905,378490.38256393815,395937.2212096858,413397.14825651795,400876.43706726225,411512.4185003382,422153.2885821032,432794.15866386826,443435.0287456333,454075.89882739837,464729.857310248,475370.7273920131,486011.59747377806,496652.4675555432,462597.5662064498,477831.34679591446,493066.24565836776,508301.144520821,523536.0433832743,538770.9422457276,554005.8411081809,569240.7399706341,584475.6388330874,599749.8028987944,531777.7458057222
46,313122.1337846666,329872.0757700978,346622.017755529,363371.9597409602,380121.90172639146,396884.4093097112,384863.8255068405,395074.9632137607,405290.7942971482,415506.6253805357,425722.45646392327,435938.2875473108,446166.6842285869,456382.51531197445,466598.3463953619,476814.1774787494,444119.5653774375,458744.847715021,473371.203657288,487997.559599555,502623.91554182203,517250.271484089,531876.6274263561,546502.9833686231,561129.3393108901,575793.3920468227,510536.41133777745
47,296620.91081349814,312488.1476253442,328355.38443719037,344222.62124903646,360089.85806088254,375968.9982761884,364581.8872054344,374254.9081779845,383932.3751907608,393609.8422035372,403287.30921631353,412964.7762290899,422654.146645326,432331.61365810235,442009.0806708787,451686.54768365505,420714.9089081784,434569.4535085353,448425.0151356837,462280.5767628321,476136.13838998054,489991.700017129,503847.26164427743,517702.82327142585,531558.3848985743,545449.656736102,483631.65357900993
48,279690.5545947343,294652.1304715664,309613.7063483986,324575.28222523077,339536.85810206295,354509.6579667997,343772.4938138195,352893.4037085373,362018.5058749773,371143.60804141726,380268.7102078573,389393.81237429735,398530.138528642,407655.240695082,416780.342861522,425905.44502796204,396701.5874777187,409765.35042114684,422830.0723421016,435894.79426305625,448959.516184011,462024.2381049657,475088.9600259205,488153.6819468751,501218.4038678299,514316.7977524984,456027.2067067167
49,268139.95818062243,282483.6543263253,296827.35047202813,311171.046617731,325514.7427634339,339869.1993713616,329575.45616244164,338319.6928109856,347067.9485997751,355816.20438856457,364564.4601773541,373312.71596614365,382071.732217158,390819.98800594755,399568.24379473703,408316.4995835265,380318.69624840264,392842.95490421617,405368.1329339222,417893.31096362823,430418.48899333423,442943.6670230403,455468.84505274636,467994.0230824523,480519.20111215836,493076.66052853887,437194.2996528608
50,261758.17409759006,275760.487435689,289762.80077378795,303765.1141118869,317767.4274499858,331780.2451491786,321731.49506627856,330267.61715166457,338807.66272096266,347347.70829026087,355887.753859559,364427.79942885716,372978.3493592492,381518.3949285473,390058.44049784547,398598.4860671436,371267.0359935638,383493.2148141907,395720.2911274294,407947.36744066805,420174.4437539067,432401.5200671454,444628.5963803841,456855.67269362276,469082.7490068615,481341.3384033817,426788.9887784641
51,257465.28172508642,271237.9540048545,285010.6262846225,298783.29856439057,312555.97084415867,326338.97521115834,316455.02686838654,324851.15464980307,333251.14156912145,341651.12848843983,350051.1154077583,358451.10232707666,366861.4213336267,375261.4082529451,383661.3951722635,392061.3820915819,365178.1738884034,377203.8406524923,389230.3901901142,401256.9397277361,413283.489265358,425310.03880298,437336.5883406019,449363.1378782238,461389.6874158457,473447.23321516253,419789.5542778531
52,259349.16117818063,273222.6084212688,287096.05566435703,300969.5029074452,314842.9501505334,328726.80508097576,318770.53565835336,327228.0981019775,335689.5479209052,344150.99773983296,352612.44755876076,361073.89737768855,369545.7548839704,378007.2047028982,386468.65452182596,394930.1043407537,367850.19107805076,379963.84992547927,392078.39800571534,404192.94608595135,416307.4941661874,428422.0422464235,440536.59032665956,452651.13840689557,464765.68648713164,476911.45762943017,422861.16420766123
53,272419.17292362853,286991.77846587327,301564.384008118,316136.98955036275,330709.5950926075,345293.1328220557,334835.1129495635,343718.897864754,352606.7660611868,361494.6342576196,370382.5024540525,379270.37065048533,388169.17103412165,397057.03923055454,405944.9074269873,414832.7756234202,386388.15856602835,399112.29042480956,411837.35632966546,424562.4222345213,437287.4881393772,450012.5540442331,462737.61994908896,475462.6858539448,488187.7517588007,500945.614225267,444171.43318165967
54,299639.9479108125,315668.6830352201,331697.4181596277,347726.1532840353,363754.8884084429,379795.64809033315,368292.63787187723,378064.1118128278,387840.07704624365,397616.04227965954,407392.0075130754,417167.9727464913,426955.9625373899,436731.92777080584,446507.89300422167,456283.85823763756,424996.98704590497,438992.5445775489,452989.1294873843,466985.7143972195,480982.29930705484,494978.88421689015,508975.46912672545,522972.0540365607,536968.638946396,551001.2975286794,488554.1045943012
55,327099.62485911656,344597.269224348,362094.91358957946,379592.5579548109,397090.20232004236,414600.97320017644,402043.8013229224,412710.755054195,423382.6116700488,434054.46828590264,444726.3249017565,455398.1815176103,466083.1646483668,476755.02126422065,487426.87788007443,498098.7344959283,463944.66424866824,479222.8060659187,494502.06941260246,509781.3327592861,525060.5961059699,540339.8594526536,555619.1227993374,570898.386146021,586177.6494927048,601496.2923840964,533326.2986140405
